id,target
9227,2
9228,2
9229,0
9230,0
9231,1
9232,1
9233,1
9234,1
9235,1
9236,2
9237,1
9238,1
9239,1
9240,0
9241,0
9242,0
9243,3
9244,1
9245,2
9246,1
9247,2
9248,3
9249,3
9250,2
9251,1
9252,3
9253,2
9254,2
9255,1
9256,2
9257,2
9258,2
9259,2
9260,1
9261,1
9262,2
9263,3
9264,1
9265,2
9266,1
9267,1
9268,1
9269,2
9270,2
9271,1
9272,2
9273,1
9274,2
9275,1
9276,0
9277,3
9278,1
9279,1
9280,2
9281,0
9282,2
9283,1
9284,1
9285,0
9286,2
9287,2
9288,2
9289,2
9290,2
9291,1
9292,2
9293,2
9294,2
9295,2
9296,0
9297,2
9298,1
9299,1
9300,2
9301,1
9302,1
9303,3
9304,1
9305,2
9306,1
9307,1
9308,2
9309,3
9310,1
9311,1
9312,1
9313,1
9314,2
9315,1
9316,1
9317,1
9318,1
9319,0
9320,0
9321,2
9322,2
9323,0
9324,1
9325,3
9326,2
9327,1
9328,1
9329,1
9330,0
9331,2
9332,0
9333,2
9334,0
9335,0
9336,1
9337,1
9338,1
9339,1
9340,2
9341,2
9342,1
9343,1
9344,1
9345,3
9346,2
9347,1
9348,1
9349,2
9350,1
9351,3
9352,1
9353,2
9354,2
9355,2
9356,1
9357,1
9358,2
9359,1
9360,2
9361,0
9362,1
9363,0
9364,3
9365,2
9366,2
9367,1
9368,2
9369,1
9370,1
9371,1
9372,2
9373,3
9374,0
9375,0
9376,2
9377,3
9378,2
9379,1
9380,2
9381,3
9382,2
9383,1
9384,1
9385,2
9386,2
9387,1
9388,2
9389,1
9390,0
9391,2
9392,2
9393,3
9394,2
9395,1
9396,1
9397,1
9398,2
9399,0
9400,2
9401,2
9402,0
9403,0
9404,0
9405,1
9406,2
9407,2
9408,2
9409,3
9410,2
9411,0
9412,1
9413,3
9414,2
9415,1
9416,1
9417,3
9418,1
9419,2
9420,1
9421,1
9422,3
9423,1
9424,2
9425,3
9426,1
9427,0
9428,2
9429,3
9430,3
9431,0
9432,2
9433,1
9434,2
9435,1
9436,2
9437,0
9438,3
9439,2
9440,2
9441,2
9442,0
9443,1
9444,1
9445,3
9446,1
9447,1
9448,0
9449,2
9450,1
9451,3
9452,1
9453,0
9454,2
9455,1
9456,3
9457,1
9458,2
9459,2
9460,2
9461,2
9462,2
9463,1
9464,2
9465,1
9466,0
9467,2
9468,0
9469,2
9470,2
9471,1
9472,1
9473,2
9474,0
9475,0
9476,2
9477,2
9478,1
9479,2
9480,1
9481,1
9482,0
9483,2
9484,1
9485,0
9486,3
9487,1
9488,2
9489,2
9490,1
9491,1
9492,2
9493,3
9494,1
9495,1
9496,2
9497,1
9498,2
9499,0
9500,1
9501,1
9502,2
9503,0
9504,1
9505,2
9506,3
9507,1
9508,1
9509,2
9510,2
9511,2
9512,2
9513,2
9514,0
9515,1
9516,1
9517,2
9518,0
9519,1
9520,1
9521,2
9522,0
9523,2
9524,1
9525,1
9526,2
9527,0
9528,2
9529,1
9530,3
9531,1
9532,1
9533,2
9534,1
9535,0
9536,1
9537,2
9538,2
9539,1
9540,3
9541,3
9542,1
9543,1
9544,2
9545,3
9546,3
9547,1
9548,1
9549,2
9550,2
9551,3
9552,0
9553,2
9554,2
9555,1
9556,2
9557,2
9558,3
9559,2
9560,1
9561,1
9562,1
9563,1
9564,2
9565,1
9566,1
9567,3
9568,0
9569,0
9570,2
9571,0
9572,1
9573,1
9574,1
9575,0
9576,0
9577,1
9578,3
9579,2
9580,2
9581,2
9582,1
9583,0
9584,2
9585,1
9586,0
9587,0
9588,1
9589,1
9590,2
9591,1
9592,3
9593,1
9594,2
9595,1
9596,1
9597,1
9598,1
9599,1
9600,1
9601,2
9602,2
9603,3
9604,0
9605,1
9606,2
9607,2
9608,1
9609,2
9610,1
9611,1
9612,1
9613,1
9614,1
9615,2
9616,2
9617,2
9618,1
9619,1
9620,1
9621,3
9622,1
9623,1
9624,3
9625,1
9626,0
9627,2
9628,2
9629,3
9630,2
9631,0
9632,1
9633,1
9634,2
9635,1
9636,3
9637,2
9638,1
9639,0
9640,2
9641,2
9642,0
9643,3
9644,0
9645,0
9646,3
9647,1
9648,1
9649,1
9650,2
9651,2
9652,1
9653,2
9654,0
9655,2
9656,0
9657,1
9658,2
9659,3
9660,2
9661,2
9662,0
9663,2
9664,2
9665,2
9666,1
9667,3
9668,0
9669,2
9670,3
9671,0
9672,1
9673,1
9674,2
9675,1
9676,2
9677,1
9678,1
9679,1
9680,1
9681,2
9682,1
9683,2
9684,0
9685,3
9686,3
9687,1
9688,1
9689,0
9690,1
9691,1
9692,2
9693,1
9694,2
9695,0
9696,1
9697,0
9698,1
9699,2
9700,0
9701,1
9702,1
9703,2
9704,2
9705,2
9706,1
9707,1
9708,0
9709,1
9710,1
9711,1
9712,0
9713,0
9714,2
9715,2
9716,2
9717,2
9718,1
9719,1
9720,2
9721,1
9722,3
9723,0
9724,2
9725,1
9726,0
9727,1
9728,0
9729,3
9730,1
9731,0
9732,2
9733,1
9734,1
9735,2
9736,1
9737,0
9738,1
9739,3
9740,1
9741,0
9742,1
9743,2
9744,2
9745,1
9746,0
9747,3
9748,0
9749,1
9750,2
9751,1
9752,1
9753,0
9754,1
9755,1
9756,2
9757,1
9758,1
9759,2
9760,2
9761,2
9762,1
9763,1
9764,2
9765,1
9766,3
9767,1
9768,1
9769,2
9770,3
9771,2
9772,2
9773,0
9774,2
9775,0
9776,0
9777,3
9778,1
9779,2
9780,0
9781,2
9782,3
9783,0
9784,1
9785,1
9786,1
9787,2
9788,1
9789,3
9790,1
9791,2
9792,0
9793,1
9794,2
9795,2
9796,2
9797,3
9798,1
9799,1
9800,1
9801,2
9802,0
9803,2
9804,1
9805,2
9806,2
9807,1
9808,2
9809,0
9810,2
9811,2
9812,1
9813,1
9814,1
9815,2
9816,0
9817,3
9818,1
9819,3
9820,0
9821,0
9822,2
9823,1
9824,1
9825,1
9826,2
9827,1
9828,1
9829,2
9830,2
9831,2
9832,2
9833,1
9834,1
9835,1
9836,1
9837,0
9838,2
9839,1
9840,1
9841,2
9842,1
9843,2
9844,2
9845,3
9846,1
9847,0
9848,1
9849,3
9850,1
9851,2
9852,1
9853,3
9854,3
9855,3
9856,2
9857,1
9858,2
9859,3
9860,2
9861,1
9862,3
9863,1
9864,1
9865,0
9866,2
9867,2
9868,2
9869,0
9870,0
9871,2
9872,1
9873,3
9874,2
9875,2
9876,1
9877,2
9878,1
9879,2
9880,1
9881,2
9882,2
